date_start,date_end,affected_line
07/11/18,07/11/18,central_line
05/10/18,05/10/18,central_line
26/09/18,29/09/18,piccadilly_line
22/08/18,24/08/18,central_line
12/07/18,13/07/18,central_line
13/04/18,13/04/18,central_line
07/05/17,08/05/17,northern_line
07/05/17,08/05/17,jubilee_line
21/02/17,22/02/17,central_line
24/12/16,25/12/16,hammersmith_city_line
24/12/16,25/12/16,district_line
08/01/17,09/01/17,bakerloo_line
08/01/17,09/01/17,central_line
08/01/17,09/01/17,circle_line
08/01/17,09/01/17,district_line
08/01/17,09/01/17,hammersmith-city_line
08/01/17,09/01/17,jubilee_line
08/01/17,09/01/17,metropolitan_line
08/01/17,09/01/17,northern_line
08/01/17,09/01/17,piccadilly_line
08/01/17,09/01/17,victoria_line
08/01/17,09/01/17,waterloo-city_line
